Dataset,id,tweet,Analysis,g4AG_C,g4EX_C,g3AG_C,g3EX_C
,e328,"There are certain people with whom ties need to be cut, not because you do not love them, but because maintaining contact or associating with them is, in their own opinion, tantamount to supporting and endorsing their sinful lifestyle somewhat.","Based on the points assignment rules and the identified categories in the text, here is the calculated total points:

- For Aggressive Items (AI):
   - Aggressive Determiner/Noun Phrases: 1 point
   - Aggressive Verbal Phrases: 1 point
   - Aggressive Adjective Phrases: 0 points (none present)
   - Controversial Content: 1 point
   - Counter-Factual Expressions About People: 0 points (none present)
   The total AI points are 1+1+0+1+0= 3 points

- For Aggression Catalyzers (AC):
   - Aggressive Adverbial Phrases: 0 points (none present)
   - Strong Expressions: 0.5 points
   - Rhetorical Questions: 0 points (none present)
   - Imperative Sentences: 0 points (none present)
   - Ironic Expressions: 0 points (none present)
   The total AC points are 0+0.5+0+0+0= 0.5 points

The grand total points for Aggression Items and Aggression Catalyzers are 3 + 0.5 = 3.5 points.",2,1,1,1
,e252,@hazelnutqw Yea I know but I doubt they are going to forget how soojin was treated.,The total points are 0.,0,1,1,1
,e88,@bankofengland Well done @KwasiKwarteng n @trussliz for being the worse tory CX n Joint Worse PM EVER (nearly forgot how bad BJ was) !,"Based on the presence of three Aggressive Items and two Aggression Catalyzers, the total score using the given points assignment would be:

AI: 3 points (3 occurrences * 1 point each)
AC: 1 point (2 occurrences * 0.5 points each)

Total Score: 4 points",2,1,2,1
,e101,"@PrayasCuler Prayas is a blessing in disguise <span class='emoji-bytes' data-emoji-bytes='[240, 159, 152, 173]'></span><span class='emoji-bytes' data-emoji-bytes='[240, 159, 152, 173]'></span><span class='emoji-bytes' data-emoji-bytes='[240, 159, 152, 173]'></span><span class='emoji-bytes' data-emoji-bytes='[240, 159, 152, 173]'></span>","Based on the identified categories and the points assignment rules, the total score is 0 since there are no Aggressive Items (AI) or Aggression Catalyzers (AC) detected in the message.",0,1,0,1
,e270,"I fell asleep and I should be in a club drunk somewhere <span class='emoji-bytes' data-emoji-bytes='[240, 159, 152, 164]'></span>spell irked <span class='emoji-bytes' data-emoji-bytes='[240, 159, 140, 154]'></span>",The total score is 0. There are no Aggressive Items (AI) or Aggression Catalyzers (AC) identified in the text.,0,0,2,0
,e93,"@johncardillo And President Trump said ""thanking "" not thinking","The total score is 0. Since no Aggressive Items (AI) or Aggression Catalyzers (AC) is identified in the text, it follows the rule specified that if no AI category is identified, the total score is 0, regardless of AC scores.",0,1,0,1
,e91,@sweetxhzlln PROUD OF LOUIS  #1YearOfWalls  PROUD OF LOUIS  #1YearOfWalls  PROUD OF LOUIS  #1YearOfWalls  PROUD OF LOUIS  #1YearOfWalls  PROUD OF LOUIS  #1YearOfWalls  PROUD OF LOUIS  #1YearOfWalls  PROUD OF LOUIS  #1YearOfWalls  PROUD OF LOUIS  #1YearOfWalls  PROUD OF LOUIS,"The total score is 0. As per the points assignment rules, no points are given when no AI or AC categories are identified in the text.",0,1,0,1
,e272,But pls if you need anything at all for hesitate to ask gorl,The total score is 0.,0,1,1,1
,e117,@Prydzopolis That's a convenient theory.  But it was actually the idea of a Chinese business leader who has interests in Adelaide.,"Based on the given points assignment rules and the identified categories in the text, the total points would be 0 since no Aggressive Items (AI) or Aggression Catalyzers (AC) categories were identified.",0,1,0,1
,e156,"@associatesmind ""Lawyer X Vampire Gigolo"" sounds like a hell of a Japanese cartoon.",The total score is 0. This is because no Aggressive Items (AI) or Aggression Catalyzers (AC) categories were identified in the text.,0,1,2,1
,e97,We the new illuminate,The total points based on the identified categories in the text is 0.,0,0,0,1
,e210,"@_littleniel_ [copy]    ATTENTION EVERYONE    CLOSE YOUR DMS, PRIVATE YOUR ACC AND ALWAYS BE AWARE OF WHO YOU ARE CONTACTING WITH BECAUSE MANY ARE GETTING HACKED BECAUSE OF ALL OF THESE SITUATIONS.","According to the points assignment rules, as no AI category was identified, the total score would be 0 regardless of AC scores.",0,1,0,1
,e191,"Me and my clotting disorder: <span class='emoji-bytes' data-emoji-bytes='[240, 159, 152, 172]'></span><span class='emoji-bytes' data-emoji-bytes='[240, 159, 152, 172]'></span><span class='emoji-bytes' data-emoji-bytes='[240, 159, 152, 172]'></span><span class='emoji-bytes' data-emoji-bytes='[240, 159, 153, 131]'></span>",The total points are 0.,0,0,0,0
,e264,"@RealJason13th Don't tempt me with a good time <span class='emoji-bytes' data-emoji-bytes='[240, 159, 152, 137]'></span>","Based on the identified categories in the text, the total points would be 0 as there are no Aggressive Items (AI) or Aggression Catalyzers (AC) identified.",0,1,0,1
,e238,Selma hit all the buzz words - but HOW are you going to do this?  #SurreyDecides,"Since no Aggressive Items (AI) are identified, the total score is 0, according to the point assignment rule stating that if no AI category is identified, the total score is 0, regardless of AC scores.",0,1,0,1
,e366,To the broad who mentioned I used to sell. . . . .  buying off the streets illegal too so check yourself broad,"AI Categories Points:
- 1 point for ""Aggressive Determiner/Noun Phrases""
- 1 point for ""Aggressive Verbal Phrases""
- 0.5 points for ""Counter-Factual Expressions About People""

So, Total AI categories: 1 + 1 + 0.5 = 2.5 points

AC categories Points:
- 0.5 points for ""Imperative Sentences""

So, Total AC categories: 0.5 points

Overall total: 2.5 (AI categories) + 0.5 (AC categories) = 3 points.",2,1,2,1
,e216,"@catlady9725 Lmao that cat is for everybody, he doesn't follow one person, Artemis and Medusa do and it's me and I know you just mad","The total score of points is 0. As there are no Aggressive Items (AI) identified, the score remains 0 regardless of any points from Aggression Catalyzers (AC).",0,1,2,1
,e326,Pokemon Let's go Pikachu/Eevee OST sound SUPER good. . . Makes me want to buy it. . . agsjdkdk,The total points based on the identified categories in the text is 0. There are no Aggressive Items (AI) or Aggression Catalyzers (AC) identified.,0,0,0,0
,e82,@BruceZardy a incredibox YouTuber,The total points is 0.,0,1,0,1
,e174,@charlies_twt i’m so scared of this gif,The total score is 0.,0,1,1,1
,e337,"j.  cole and nicki in one nighttt this is too much <span class='emoji-bytes' data-emoji-bytes='[240, 159, 152, 173]'></span>",The total score is 0 points.,0,0,2,1
,e111,@Goss30Goss Ha!  Amen to that,The total score is 0.,0,1,0,1
,e231,@cherlizcohen you’re so cute and beautiful b ugh my heart,"Based on the provided points assignment rules and the identified categories, the total score is 0. This is because no Aggressive Items (AI) or Aggression Catalyzers (AC) were identified in the analyzed text.",0,1,0,1
,e199,I’m too lazy to make the loaded fries I’m craving,The total points are 0.,0,0,2,0
,e318,surprises from paris to korea/from korea to chicago &gt; &gt; &gt; &gt;,"Given that the text does not contain any Aggressive Items (AI) or Aggression Catalyzers (AC), the total score is 0.",0,0,0,1
,e255,I’m hungry and annoyed,The total score is 0.,0,0,1,0
,e136,@MrMxno A wouldn’t take that aff a guy like mono mate,The total score is 0.,0,1,2,1
,e209,@SurajKrBauddh Shut up man.  Totally playing a caste card.  Dumb.  Stop playing for dirty politics.,"Given the points assignment rules stated:
- AI categories: Each category carries 1 point. So, given that you have identified 4 AI categories, you have 4*1 = 4 points from this section. 
- AC categories: Each category carries 0.5 points. You have identified 3 AC categories, which gives you 3*0.5 = 1.5 points from this section.

Therefore, the total points you should have for the identified categories in the text should be 4 (from AI categories) + 1.5 (from AC categories) = 5.5 total points.",2,1,2,1
,e300,"@FortniteGame IVE BEEN PLAYING THIS BULLSHIT AND IVE NOTICED THAT IN A MOBILE FUCKING ENDGAME THERES 12 OR MORE PEOPLE ALIVE , PEOPLE ARE TREATING SOLOS AS FUCKING WORLD CUP ITS RETARDED, WHO THE FUCK DESIGNED SKILL BASED MATCH MAKING BECAUSE THEYRE PROBABLY WHEELCHAIR BOUND","With the given calculation rules, the total points would be calculated as follows:

Aggressive Items (AI): 
- Aggressive Determiner/Noun Phrases: 1 point
- Aggressive Verbal Phrases: 1 point
- Aggressive Adjective Phrases: 1 point
- Controversial Content: 1 point
- Counter-Factual Expressions About People: 0.5 points

Total for AI: 4.5 points

Aggression Catalyzers (AC):
- Aggressive Adverbial Phrases: N/A 
- Strong Expressions: 0.5 points
- Rhetorical Questions: 0.5 points
- Imperative Sentences: N/A
- Ironic Expressions: N/A.

Total for AC: 1 point

By adding these, we get the total points: 4.5 (AI) + 1 (AC) = 5.5 points.",2,1,2,1
,e265,I hate seeing girls loose themselves over a relationship . . .,Total points: 1 point for the Aggressive Verbal Phrases AI category (as there are no points added for AC categories in this case).,1,1,0,1
,e146,@TWICEisEnough24 Yeah she had to choose either Japan or US.  Dunno which one she chose,"Since no Aggressive Items (AI) or Aggression Catalyzers (AC) are identified in the text, the total score is 0.",0,1,1,1
,e250,@stiff_julie You’ve been thinking about that answer for a loooooooong time lady!,"Based on the rules:

- Aggressive Items (AI): None identified = 0 points
- Aggression Catalyzers (AC): Two identified (Aggressive Adverbial Phrase and Ironic Expression) = 2 x 0.5 points = 1 point

Total Points: 0 AI + 1 AC = 1 point.",1,1,1,1
,e132,"@ti_ffe you’re the best.     This Shawarma is going down well.  <span class='emoji-bytes' data-emoji-bytes='[240, 159, 164, 164]'></span>",The total score is 0.,0,1,0,1
,e78,"@DougMassMets <span class='emoji-bytes' data-emoji-bytes='[240, 159, 152, 130]'></span><span class='emoji-bytes' data-emoji-bytes='[240, 159, 152, 130]'></span>  Metallica  Iron Maiden  Motorhead  Anthrax  Pantera. . . and any other metal/rock tees!  I love to rock <span class='emoji-bytes' data-emoji-bytes='[240, 159, 152, 130]'></span><span class='emoji-bytes' data-emoji-bytes='[240, 159, 152, 142]'></span><span class='emoji-bytes' data-emoji-bytes='[240, 159, 150, 164]'></span>","Given that no aggressive items (AI) or aggression catalyzers (AC) are identified in the text, the total points would be 0, according to the Points Assignment Rules.",0,1,0,1
,e186,@ArnabSpeaks_ @Indiansontop Time to make law like Israel in India and these scoundrels should be hanged till death Arnab.,"Based on the points assignment rules, the points can be calculated as follows:

- 2 categories are identified under Aggressive Items (AI): Aggressive Noun Phrases and Aggressive Verbal Phrases. Each category earns 1 point. So, the AI total score is 1 * 2 = 2 points.
- 1 category is identified under Aggression Catalyzers (AC): Imperative Sentences. Each category earns 0.5 point. So, the AC total score is 0.5 * 1 = 0.5 points.

Therefore, the total points for this text is 2 (AI score) + 0.5 (AC score) = 2.5 points.",2,1,2,1
,e249,woosan think of my heart pls,The total points score is 0.,0,1,0,1
,e344,@TrumpSugar @TiredOf_UrCrap2 @DeplorableNew @gorillastyle @SpaceForceBravo @LeonWhi63670221 @TT197 @misshellca @PwrCane1 @Emanonthx3 @gonefishing178 @Dannaja64Danny @hwaynewaters @DrwThereal @akvawe66 @MariaZupan @FnicholasR @Poomalotta @annableigh @instinctnaturel @JackLyn74324171 @rms2297 @Pepseecool @Bootz_Adams @MarkKDinges @countrysherry @HouseOfJames2 @EJ_LiveWithLove @phil_mckraken @Burghgirl69 @libsRtwittarded @MrsHSince82 @teriross69 @ShellyRKirchoff @AIiceRobinson @jeff11069676 @lilBee67569241 @provdcrumblover @alterhan @ACMeyor @Consofcooking1 @Yoop3rman @TrumpLies45 @j_democrat @GOPkleptocrat @vincedemello @donnnie @DanFoc77 @girolamo5151 I know who you mean.,The total points based on these categories is 0.,0,1,2,1
,e151,"Tired of eating out <span class='emoji-bytes' data-emoji-bytes='[240, 159, 153, 132]'></span>",The total score is 0.,0,0,0,1
,e289,"@Iwitness1111 @diamondfire42 @AndyWeston5 @1966start @NancyPelosi @realDonaldTrump Well, we had Hillary or Trump.   So we rejected Hillary. . . .","Based on the points assignment rules, and given that no Aggressive Items (AI) or Aggression Catalyzers (AC) were found in the text, the total score is 0.",0,1,0,1
,e357,no need to take a look cuz i know what is the next,"The total score is 0. Since no aggressive items (AI) were identified, the presence of potential aggression catalyzers (AC) does not matter as per the rules provided.",0,1,0,1
,e121,"@Is_a_dumb_name @Smoncdahonk Good to know, ty.",The total score is 0.,0,1,0,1
,e363,@tvseriesfinale Watched Evil in the uk does that mean season 2 wont be shown here?  Was really looking forward to seeing season 2 .,The total points are 0.,0,1,1,1
,e204,"@Ashtronova If knew where you lived I’d send you flowers on a regular lol <span class='emoji-bytes' data-emoji-bytes='[240, 159, 152, 133]'></span><span class='emoji-bytes' data-emoji-bytes='[240, 159, 146, 153]'></span><span class='emoji-bytes' data-emoji-bytes='[240, 159, 152, 152]'></span>","Based on the points assignment rules and the analysis that reveals no Aggressive Items (AI) or Aggression Catalyzers (AC), the total score is 0.",0,1,0,1
,e194,@freepeeper Yup C- for me too - maybe a D.,The total score is 0.,0,1,1,1
,e205,@mattsmithbooks yes to robo-calls! ! !  #mglitchat,The total score is 0.,0,1,2,1
,e80,@Touyarokii I wonder if she’s gonna be older now or still be a 10-11 yo because she’s stuck with ash’s curse lmao,"Based on the provided information, the total score is 0. This is because no Aggressive Items (AI) or Aggression Catalyzers (AC) have been identified in the text.",0,1,2,1
,e112,@_sabanaqli_ @MdShami11 @JadhavKedar What a shameful tweet showing a sick mentality and highly degraded family values reflecting your own upbringing full of insecurity .,"According to the points assignment rules:

Aggressive Items (AI):
- Aggressive Adjective Phrases: 1 point
- Aggressive Determiner/Noun Phrases: 1 point
- Aggressive Verbal Phrases: 1 point

Aggression Catalyzers (AC):
- Strong Expressions: 0.5 point

No points for other categories since they're not present in the text.

Total points: 1 (Aggressive Adjective Phrases) + 1 (Aggressive Determiner/Noun Phrases) + 1 (Aggressive Verbal Phrases) + 0.5 (Strong Expressions) = 3.5 points.",2,1,2,1
,e275,Good morning to Shakira and Shakira only @shakira love you,"Since the analyzed text does not contain any Aggressive Items (AI) or Aggression Catalyzers (AC), the total score is 0.",0,1,0,1
,e200,"@LindsSings Yeah, but think of all that 'exposure'.  ""Oh you want paying too"" <span class='emoji-bytes' data-emoji-bytes='[240, 159, 164, 163]'></span>",The total score for the text is 0 as there are no identified Aggressive Items (AI) or Aggression Catalyzers (AC) based on the given categories.,0,1,0,1
,e320,If I could go without talking to mom the girl I cared for the most then I don’t know why my bitch ass dad who I never cared for think I can’t go without talking to him.,"According to the points assignment rules:

Aggressive Items (AI):
- Aggressive Noun Phrases: ""my bitch ass dad"" (1 point)
- Counter-Factual Expressions About People: ""dad who I never cared for"" (0.5 point)

Aggression Catalyzers (AC):
- Strong Expressions: ""bitch ass dad"" (0.5 point)
- Rhetorical Questions: ""I don’t know why my bitch ass dad who I never cared for think I can’t go without talking to him."" (0.5 point)

So, the total score will be 1 + 0.5 + 0.5 + 0.5 = 2.5 points.",2,1,2,1
,e283,"@Krishi4747 @albelaindian @_dark_crusader i think you need to check @Goal_India tweet cus they called him <span class='emoji-bytes' data-emoji-bytes='[240, 159, 144, 144]'></span>.   Actually even colours tv called him G. O.","Since the text does not contain any Aggressive Items (AI) or Aggression Catalyzers (AC), the total score is 0.",0,1,0,0
,e79,@TheFunSizeGuy Props to the hat lols,The total score is 0.,0,1,0,1
,e77,I had a dream of Justin and then I wake up to him talking like that to fans.  Like omg what is my life,The total points would be 0 since no AI or AC categories are identified.,0,0,2,1
,e187,@AtlanticCouncil @kroenig You want denuclearization of NK while US continues its $1 TRILLION upgrade of its nuclear weapons program.,"As per the Points Assignment Rules, if no Aggressive Items (AI) are identified, the total score is 0, regardless of the presence of any Aggression Catalyzers (AC). Therefore, the total points for this text are 0.",0,1,2,1
,e324,@Swagg @timthetatman Ayo swagg.  Get at me for a 1v1; ) iScott Activision account,"Since no Aggressive Items (AI) or Aggression Catalyzers (AC) have been identified in the text, according to the Points Assignment Rules, the total score is 0.",0,1,1,0
,e365,"@thehill A president brags about being twice impeached and is applauded?     Republican insurrectionist, seditionist, and other Trumpian trash ASSAULTED our nation's Capitol.      Go figure","AI points: 
- Aggressive Determiner/Noun Phrases: 1 point
- Aggressive Verbal Phrases: 1 point
- Aggressive Adjective Phrases: 1 point
- Counter-Factual Expressions About People: 0 points (None identified)
- Controversial Content: 1 point

Total AI Points = 4

AC points:
- Aggressive Adverbial Phrases: 0.5 point
- Strong Expressions: 0.5 point
- Rhetorical Questions: 0.5 point
- Imperative Sentences: 0.5 point
- Ironic Expressions: 0 points (None identified)

Total AC Points = 2.0

The total points would then be the sum of AI and AC points, which is 6.0 points.",2,1,2,1
,e198,Lupe Fiasco might be the most underrated rapper of all time,The total points are 0.,0,0,0,0
,e129,"Giving wake up calls to anne <span class='emoji-bytes' data-emoji-bytes='[240, 159, 152, 145]'></span> Aiyooo","The total score would be 0, as no  Aggressive Items (AI) or Aggression Catalyzers (AC) have been identified in the text.",0,1,0,1
,e98,"it’s time for me to go . .  <span class='emoji-bytes' data-emoji-bytes='[240, 159, 155, 171]'></span>",The total points is 0.,0,0,0,0
,e352,"@Xaidil Both pairings are bad.  Nancy x Robin ftw <span class='emoji-bytes' data-emoji-bytes='[240, 159, 152, 134]'></span><span class='emoji-bytes' data-emoji-bytes='[240, 159, 152, 134]'></span> (no but fr I ship Nancy with the single life and a career)","Based on the points assignment rules:

- AI categories:
  - Aggressive Verbal Phrases: ""Both pairings are bad"" = 1 point

- AC categories:
  - Strong Expressions: ""Both pairings are bad"" = 0.5 points

The total score is 1.5 points.",2,1,1,1
,e240,@baezniye KZKZZK AH.  i see! ! !  kinda hope they'll do the units fs next jsjsksks,The total score is 0.,0,1,0,1
,e116,@seatinmol When you go to Mexico you gotta try out the coke right?,"Since no Aggressive Items (AI) were identified, the total score is 0, regardless of the Aggression Catalyzers (AC) identified.",0,1,2,1
,e86,@AidanWalshMUFC Maguire and Alex Sandro,The total score is 0. The text does not contain any Aggressive Items (AI) or Aggression Catalyzers (AC).,0,1,0,1
,e172,I just want a sour pickle,"The total points in this case are 0, as no Aggressive Items (AI) or Aggression Catalyzers (AC) have been identified in the text.",0,0,0,0
,e89,Still thinking about #Rocketman this morning.  I cant actually think of another film that does?  Not even Gods Own Country ().,"Since there are no Aggressive Items (AI) identified, the total score is 0, regardless of the fact that there is an Aggression Catalyzer (AC) in the text.",0,0,0,1
,e158,"@719Broncos4Life @SpartanKing1534 @HobbyConnector @mlbhobbyconnect I want to get one so bad <span class='emoji-bytes' data-emoji-bytes='[240, 159, 152, 171]'></span>",The total score is 0.,0,0,0,1
,e244,"vlad jr is a fuckin animal<span class='emoji-bytes' data-emoji-bytes='[240, 159, 152, 179]'></span>","Total points: 1.5 points
- AI category: Aggressive Determiner/Noun Phrases ( ""a fuckin animal"") = 1 point
- AC category: Strong Expressions (""fuckin"") = 0.5 points",2,1,2,1
,e242,I'm so tired ;  w;,The total score is 0.,0,0,0,0
,e359,Update:    I have collected all of my footage for my next Life is Strange tribute video.  It's set for a Sunday release.     @LifeIsStrange #Tribute,"The total points for the identified categories in this text is 0. Since no Aggressive Items (AI) or Aggression Catalyzers (AC) were identified, there were no points to be awarded.",0,0,0,0
,e254,"I’m so sad I can’t go to MYT tour <span class='emoji-bytes' data-emoji-bytes='[240, 159, 152, 171]'></span>","Based on the information provided, the total score will be 0 because there are no identified Aggressive Items (AI) or Aggression Catalyzers (AC).",0,0,2,0
,e183,"@imallabouttrump Even though he was prior blackface user,he refused to step down,was re-elected (Soros funded). These evil ppl are desperate & dangerous!","Calculation:
- Aggressive Items (AI): There are 4 categories present, giving us a score of 4 points (1 point each).
- Aggression Catalyzers (AC): There is only 1 category present, giving us a score of 0.5 points (0.5 points each).

Total Points: 4 (AI) + 0.5 (AC) = 4.5 points.",2,1,2,1
,e234,@KarmicEraser @Lucy_Lapwing Gorgeous girl.   Awful and all-too-familiar stories,"Based on the identified categories, the total score is 0.",0,1,1,1
,e213,"That wasn't a ""Marriage Story""!  It was more like a ""Divorce Story""!  <span class='emoji-bytes' data-emoji-bytes='[240, 159, 146, 148]'></span> #NetflixMovie","Based on the provided categories and points assignment rules, the total points or score for the given text is 0, as there are no Aggressive Items (AI) or Aggression Catalyzers (AC) identified.",0,0,2,1
,e286,@MapleReam it's nice :3 and you can draw my Nyopu if you want &lt; x9,The total points are 0.,0,1,0,1
,e201,"@Robinho_1979 I don't tend to watch their games unless I hear they're losing or I think there's a good chance of them dropping points, don't really see the issue with it though, it's football and they're games affect Rangers chances of winning the league","Based on the points assignment rules and the analysis provided, the total points would be 0 as no aggressive items (AI) or aggression catalyzers (AC) were identified in the text.",0,1,2,1
,e188,@Lalitad49093311 @knock_knock_now @thevirdas I am happy to defend a point but also concede defeat.  so it just useless as we see each other so,"Based on the provided information, no Aggressive Items (AI) or Aggression Catalyzers (AC) were identified in the analyzed text. Per the provided points assignment rules, this results in a total point score of 0.",0,1,0,1
,e284,@Oise__ Lool it’s very likely one of my mad friends.,"Based on the rules, the total points would be 0, as there are no identified AI or AC categories in the text.",0,1,2,1
,e228,Toothless hugs the reader!  No miss.,The total score is 0.,0,1,2,1
,e258,@KiddKal__ This a look! ! !,The total score is 0.,0,1,0,1
,e83,FCKN WTF THE SLOGAN. . .,"Based on the identified categories and the points assignment rules, the total score is 1 point, accredited to the identification of one instance of an Aggressive Item (AI).",1,1,2,1
,e367,"1am and i cant sleep.  <span class='emoji-bytes' data-emoji-bytes='[240, 159, 152, 173]'></span> it is so sore <span class='emoji-bytes' data-emoji-bytes='[240, 159, 146, 148]'></span><span class='emoji-bytes' data-emoji-bytes='[240, 159, 146, 148]'></span><span class='emoji-bytes' data-emoji-bytes='[240, 159, 146, 148]'></span>","According to the points assignment rules and the identified categories, the total points for the provided text is 0. This is because no Aggressive Items (AI) or Aggression Catalyzers (AC) are identified in the text.",0,0,0,0
,e220,@gold4loko ok but what about the rind didn’t mean a thing.  that bop deserved better,"Based on the identified categories and points assignment rules, the total score is 0.",0,1,2,1
,e296,"@like_a_folksong @marvelousthyme Ewe know I had to!  <span class='emoji-bytes' data-emoji-bytes='[240, 159, 152, 130]'></span><span class='emoji-bytes' data-emoji-bytes='[240, 159, 146, 151]'></span><span class='emoji-bytes' data-emoji-bytes='[240, 159, 144, 145]'></span>","Based on the identified categories and points assignment rules mentioned, the total points for the given text would be 0 as no Aggressive Items (AI) or Aggression Catalyzers (AC) were identified.",0,1,0,1
,e241,@DrTitiOye @A_Jaden_ Lmao they were begging someone that was saying ‘if I have one more seizure’ to go to the hospital?  Na wa o,"Based on the points assignment rules, since the text has no Aggressive Items (AI) identified, the total score is 0 regardless of Aggression Catalyzers (AC). Even though one Aggression Catalyzer (AC) is identified, this does not contribute to the score as no Aggressive Items (AI) were found. So the total point is 0.",0,1,0,1
,e364,@shonebrodus1996 I love Vicky and she loves me back!,The total points are 0.,0,1,0,1
,e329,"@VivaMouri Man has like 1m followers, MUFC RT’d my tweet and they have like 18m <span class='emoji-bytes' data-emoji-bytes='[240, 159, 164, 160]'></span><span class='emoji-bytes' data-emoji-bytes='[240, 159, 164, 160]'></span><span class='emoji-bytes' data-emoji-bytes='[240, 159, 164, 160]'></span><span class='emoji-bytes' data-emoji-bytes='[240, 159, 164, 160]'></span><span class='emoji-bytes' data-emoji-bytes='[240, 159, 164, 160]'></span><span class='emoji-bytes' data-emoji-bytes='[240, 159, 164, 160]'></span><span class='emoji-bytes' data-emoji-bytes='[240, 159, 152, 130]'></span><span class='emoji-bytes' data-emoji-bytes='[240, 159, 152, 142]'></span><span class='emoji-bytes' data-emoji-bytes='[240, 159, 145, 139]'></span><span class='emoji-bytes' data-emoji-bytes='[240, 159, 143, 189]'></span><span class='emoji-bytes' data-emoji-bytes='[240, 159, 145, 141]'></span><span class='emoji-bytes' data-emoji-bytes='[240, 159, 143, 189]'></span><span class='emoji-bytes' data-emoji-bytes='[240, 159, 164, 163]'></span><span class='emoji-bytes' data-emoji-bytes='[240, 159, 145, 141]'></span><span class='emoji-bytes' data-emoji-bytes='[240, 159, 143, 189]'></span><span class='emoji-bytes' data-emoji-bytes='[240, 159, 145, 139]'></span><span class='emoji-bytes' data-emoji-bytes='[240, 159, 143, 189]'></span>","Based on the provided categories and rules, the total points for this text would be 0, as it is free of any Aggressive Items (AI) or Aggression Catalyzers (AC).",0,1,2,1
,e190,@TheSlickPens What's a draenai and how do you even say that?,The total points is 0.,0,1,0,1
,e310,idgi i merged my daum and kakao alr so why my login info is still my daum id,"Based on the identified categories in the text, the total points is 0.",0,0,2,1
,e104,Lol Wow @PhenomBlak and Twan had the same conversation Issa and Y’lan had lol.  Moments vs Patterns,The total score is 0.,0,1,0,1
,e342,Im so close to punching you in the dick &lt; 3,"The total points based on the identified categories in the text is 1 point. This is because there is one AI category identified, which carries a point score of 1. No AC category has been identified, so no points are added for that.",1,1,2,1
,e127,"@smizz Aww lovely photos!    Ace to be working with you smizz !  ❤️<span class='emoji-bytes' data-emoji-bytes='[240, 159, 148, 165]'></span><span class='emoji-bytes' data-emoji-bytes='[240, 159, 148, 165]'></span><span class='emoji-bytes' data-emoji-bytes='[240, 159, 148, 165]'></span><span class='emoji-bytes' data-emoji-bytes='[240, 159, 148, 165]'></span><span class='emoji-bytes' data-emoji-bytes='[240, 159, 148, 165]'></span>",The total points for the given text is 0.,0,1,0,1
