Unnamed: 0,Unnamed: 0.1,id,tweet,orginal,1DI_C,1AG_C,1T_C,,2DI_C,2AG_C,2T_C,,G3DI_C,G3AG_C,G3T_C,,G4DI_C,G4AG_C,G4T_C,1T,2T,G4T,G3T
37,,17384,RT @RLE_Raider: Thanks Ravens 4 beating those fags. Now believe I don't give a fuck about you. I'm Raider Nation bitches. Thanks 4 pu ...,1,1,2,1,,1,2,1,,1,2,1,,1,2,1,1,1,1,1
38,,15463,"RT @ElderLWM: And Black women need to stop referring to themselves and other sisters as ""hoes"" &amp; ""Bitches""..... It really ain't a good look&#8230;",1,1,1,1,,0,1,0,,1,1,1,,1,2,1,0,0,1,1
39,,11687,I'm sorry but why should I care about what bitch my nigga was fucking w before me,1,0,2,0,,0,2,0,,1,2,1,,1,2,1,0,1,1,1
40,,19636,"RT @iadorewomen_: #IfWeDate 
Get rid of Your Ex's 
&#128694;&#128694;&#128694;&#128694;&#128694;&#128694;&#128694;

Get rid of Your hoes
&#128131;&#128131;&#128131;&#128131;&#128131;&#128131;&#128131;

We don't Need No interference
&#128525;&#128145;&#128107;&#128141;&#128536;&#128143;&#10084;&#65039;&#128175;",0,1,2,1,,1,2,1,,1,2,1,,1,2,1,0,1,1,1
41,,4829,@SheanXIV &#128514; yea ion do Brussel sprouts .. I barely do cordon Bleu but I wanted to try something dif .. I get tired of nigger foods,1,0,1,0,,0,1,0,,1,1,1,,1,1,1,0,1,1,1
42,,15454,RT @EastSideKris: Lebron a bitch.....Drake performed with a torn ACL at the MTV Awards....,1,1,1,1,,1,1,1,,1,1,1,,1,1,1,1,1,1,1
43,,6182,@geokthree I literally just told @Black_SinS to his face how trash he is at the shop in hooping,1,1,2,1,,1,2,1,,1,2,1,,1,2,1,1,1,1,1
44,,22398,This biatch just called me a bitch &#128514;&#128514;,1,1,1,1,,1,1,1,,1,2,1,,1,2,1,1,1,1,1
45,,20859,"RT @youngscrap: I sent that bitch a smiley face, bitches love smiley faces &#128515;",1,1,1,1,,1,1,1,,1,2,1,,0,2,0,0,1,1,0
46,,4735,@SAMMI_boyden you fucking twat just start talking,1,1,2,1,,1,2,1,,1,2,1,,1,2,1,1,1,1,1
47,,18367,RT @VaTxn: Illegal alien is not a race. It's a crime. @MuchoMacho @McDonalds @jeandeaux1776 @cspanwj #wetbacks http://t.co/pf2YpelyOP,0,1,1,1,,1,1,1,,1,2,1,,1,2,1,0,1,1,1
48,,10376,I can neva count my stash cause I always lose count. I can neva keep no bitch cuz I put them hoes out,1,0,2,0,,0,1,0,,1,2,1,,0,2,0,0,1,1,1
49,,8364,Both of them hoes losers and need to hit the gym,1,1,2,1,,1,2,1,,1,2,1,,1,2,1,1,1,1,1
50,,8153,Bae gotta bitch &#128514; whoops &#128564;,1,1,1,1,,1,1,1,,1,1,1,,1,1,1,1,0,1,1
51,,6590,@kieffer_jason @hunterbuch66 @sbsylvester u fucking trailer trash,1,1,2,1,,1,2,1,,1,2,1,,1,2,1,1,1,1,1
52,,9390,Flights from Liberia should just be rerouted to Ferguson.. 2 birds 1 stone.,1,1,0,0,,1,0,0,,1,2,1,,1,2,1,0,0,1,1
53,,4135,@MakeAnothaHov T.o. was a faggot crybaby,0,1,1,1,,1,2,1,,1,1,1,,1,2,1,1,1,1,1
54,,11509,I'm about to hit a bitch,1,1,2,1,,1,2,1,,1,1,1,,1,1,1,1,1,1,1
55,,23751,You can ask if I fucked a bitch but can't ask how my Father's Day was?!! ... These hoes be outta line!,1,1,2,1,,1,2,1,,1,2,1,,1,2,1,0,1,1,1
56,,17128,"RT @OGTREEZ: Steve found out you can't call Taiquaniesha a ""stupid fuckin cunt"" like you can w Becky http://t.co/3A5qGki97B",1,1,2,1,,1,2,1,,1,1,1,,1,2,1,0,0,1,1
57,,14376,RT @49ant: you aint getting no hoes to come back to the room with you if you staying at circus circus bruh,1,1,1,1,,1,1,1,,1,1,1,,1,1,1,0,1,1,1
58,,24643,leaving no hope for these hoes.,1,1,1,1,,1,1,1,,1,1,1,,1,1,1,0,1,1,1
59,,16319,RT @KanyeFaaces: when you let go of all your hoes for one girl but she end up bein a hoe too http://t.co/kn1yKRw4J4,1,1,1,1,,1,1,1,,1,2,1,,1,2,1,1,1,1,1
60,,16629,RT @LmaoSoFunny: Kicked the soul outta dis bitch https://t.co/5xWHYdP7U8,1,1,2,1,,1,2,1,,1,2,1,,1,2,1,1,1,1,1
61,,8633,Celebratin while you hatin bitch.,0,1,1,1,,1,1,1,,1,2,1,,1,2,1,1,1,1,1
62,,15245,RT @DaCoolestLame: Yo BCU band made UCF band look like trash,0,1,1,1,,1,1,1,,1,2,1,,1,1,1,1,1,1,0
63,,2237,.@nathirhussein Al Qaeda's market share is dropping faster than Viacom &amp; Enron in the Jihadi stock market,1,1,0,0,,1,0,0,,1,2,1,,1,2,1,0,0,0,0
64,,18971,"RT @andrenickatina: Bitch at MacDonalds say..""U look a lil devilish 2day homey""..Oh well bitch..I WOKE UP LIKE THIS-I WOKE UP LIKE THIS(Bey&#8230;",1,1,1,1,,1,1,1,,1,2,1,,1,2,1,0,1,1,1
65,,24590,ion like papoose but he went in lol,1,1,0,0,,1,0,0,,1,2,1,,1,0,0,0,0,0,0
66,,19816,RT @juiceman829: @herk87 @RealMichaelKay how much does your wife wet pussy want another dick. #BIG HEAD,0,1,2,1,,1,2,1,,1,2,1,,1,2,1,1,1,1,1
67,,21712,Switch A Roo yo hoe let me hit her,1,1,2,1,,1,2,1,,1,2,1,,1,2,1,0,1,1,1
68,,1505,&#8220;@Queendev_: My leave out is trash &#128552;&#8221;&#128557;&#128557;&#128557; u sick,1,1,1,1,,1,1,1,,1,2,1,,1,1,1,0,0,0,1
69,,8130,"Bad bitch, chest out......no wonder why Miss Righteous keeps on getting left out",1,1,1,1,,1,1,1,,1,1,1,,1,2,1,1,1,1,1
70,,14016,Only keep real bitches in attendance &#128109;&#128129;,1,1,2,1,,1,2,1,,1,2,1,,1,2,1,0,1,1,1
71,,2777,@Buy_Mortimer @WiigJosh @iowa51005 @TC_live2014 @todd_calfee Hookers are always complimentary-who wants to be with a bitch?,1,1,2,1,,1,2,1,,1,2,1,,1,2,1,1,1,1,1
72,,15154,"RT @CrittaMo: I'm getting tired of these same ol no hope broke bitches! No job, all they wanna do is twerk and smoke Swishers",1,1,2,1,,1,2,1,,1,2,1,,1,2,1,1,1,1,1
73,,12956,Look at this fucking kaffirs hairdo. Only a nigger http://t.co/lmWqJ1EtOa,1,1,2,1,,1,2,1,,1,2,1,,1,2,1,1,1,1,1
74,,6835,@mayormcginn @usmayors @SenFeinstein White people need those weapons to defend themselves from the subhuman trash your sort unleashes on us.,1,1,2,1,,1,2,1,,1,2,1,,1,2,1,1,1,1,1
75,,4712,"@RottenStench
Dat was Charlie",1,1,0,0,,1,0,0,,1,0,0,,1,0,0,0,0,0,0
76,,17340,"RT @PrincexFbgm: Lonely twitter bitches be like 

#relationshipgoals &gt;&gt;&gt;&gt;&gt; http://t.co/9z9PxVnf89",1,1,1,1,,1,1,1,,1,1,1,,1,2,1,0,0,1,1
77,,19845,"RT @keep_ita_hunnit: Ya bitches got boddies but act like they dont count cause ya ""loved"" each other lmaoo",1,1,2,1,,1,1,1,,1,2,1,,1,2,1,1,1,1,1
78,,15355,RT @DinO_off_AD: Them hoes come them hoes go it's a revolving cycle &#128080;,1,1,1,1,,1,1,1,,1,2,1,,1,2,1,0,0,1,1
79,,11196,I swear I needa go on n go back to the old me because bitches think its a game apparently. Let's be real !,1,0,1,0,,0,2,0,,1,2,1,,1,2,1,1,0,1,1
80,,8616,Carrahs a bitch...,1,1,1,1,,1,1,1,,1,1,1,,1,1,1,1,1,1,1
81,,12781,Literally was in the best mood and bitches literally killed my vibe,1,1,2,1,,1,2,1,,1,2,1,,1,2,1,1,1,1,1
82,,13171,Miley cyrus kinda looks like a retarded care bear....,1,1,2,1,,1,2,1,,1,2,1,,1,2,1,1,1,1,1
83,,21455,Soap. I wish some pussy tho RT @ImJustCeej: What does your beard smell like?,1,0,2,0,,1,2,1,,1,1,1,,1,0,0,1,1,1,1
84,,18007,RT @ThatBoyACE71: Vonte not tweeting like a bitch finally,1,1,1,1,,1,1,1,,1,2,1,,1,1,1,1,1,1,1
85,,21763,Tell a bitch GTFO my face fa no reason,1,1,2,1,,1,2,1,,1,2,1,,1,2,1,1,1,1,1
86,,16535,RT @LeNoirAuteur: bitch don't do this RT @AZEALIABANKS: &#128078;,1,1,2,1,,1,2,1,,1,2,1,,1,2,1,0,1,1,1
87,,15545,RT @Fewjr: &#8220;@1MarKus_A: Pau a hoe. How u gon play after the trade deadline&#8221; I dislike that guy. Yea he helped bring two chips but he soft A&#8230;,1,1,2,1,,1,2,1,,1,2,1,,1,2,1,1,1,1,1
88,,22240,These hoes ain't yours it's just yo turn #&#128175;&#128175; u hear me?,1,1,2,1,,1,2,1,,1,2,1,,1,2,1,1,1,1,1
89,,9893,Hahahaha fucking pussies @kevinlove @KingJames @cavs,0,1,2,1,,1,2,1,,1,2,1,,1,2,1,1,1,1,1
90,,21552,Sone of y'all bitches need morning glory milk baths &#128514;&#128514;&#128514;,1,1,1,1,,1,1,1,,1,1,1,,1,2,1,1,1,1,1
91,,12408,"Jtfooooo at ""pussy on fleek""",0,1,1,1,,1,1,1,,1,2,0,,0,1,0,1,1,1,0
92,,11,""" Murda Gang bitch its Gang Land """,1,1,1,1,,1,1,1,,1,2,1,,1,2,1,1,1,1,1
93,,21183,She got me like fuck that bitch,1,1,2,1,,1,2,1,,1,2,1,,1,2,1,1,1,1,1
94,,2617,"@BarnabyEdwards @Bsilverstrim77 ""Dear Daily Mail, you misogynist pile of twats!"" https://t.co/rUYeOnusSt",0,1,1,1,,1,1,1,,1,1,1,,1,2,1,1,1,1,0
95,,11388,I wish people could just be straight up with me. Don't be a fake bitch to me because I'm not a fake bitch to you. Or anyone actually.,1,0,1,0,,1,2,1,,1,2,1,,1,2,1,0,0,1,0
96,,24290,especially since Rick and Andrea are banging each other in the comics but the bitch died already,1,1,1,1,,1,1,1,,1,2,1,,1,2,1,0,1,1,1
97,,22817,U of A hoes w/ the booties hangin out,1,1,2,1,,1,2,1,,1,2,0,,1,2,1,1,1,1,1
98,,14424,RT @APTheCreated: @bellabelcastro is the realest bitch I know. Lol,1,1,1,1,,1,1,1,,1,2,1,,1,2,1,0,0,1,0
99,,24582,"imma tall dread head wit a fat face

bitch do better",1,1,2,1,,1,2,1,,1,2,1,,1,2,1,0,0,1,1
100,,15987,"RT @ImNeverChillin: Any bitch that tell you ""I normally don't do this"" get ready for the best head/pussy you've ever got",0,1,2,1,,1,2,1,,1,2,1,,1,2,1,1,0,1,1
101,,13476,My stomach hurt like a bitch yoo,1,0,1,0,,0,1,0,,1,1,1,,0,2,0,0,0,1,1
102,,1935,&#8220;@skinnysowhat: @PAPER_CHAYSIN aye and when the hoes start coming don't forget who put you on &#128524;&#8221; I won't !!! &#128513;&#128513;&#128513;,1,1,2,1,,1,2,1,,1,2,1,,1,2,1,0,1,1,0
103,,5053,"@TheBlondeBetch WHOA sorry for the spell check error, its not ho it was hey so sorry",1,1,0,0,,1,0,0,,1,0,0,,1,0,1,0,0,0,0
104,,16847,RT @Milesss_: If u say #blessed u r hashtag lying and r probably unhappy w/ ur life fake bitches lolz&#128514;,1,1,2,1,,1,2,1,,1,2,1,,1,2,1,1,1,1,1
105,,3567,@Iemonaids @drugulaa some of them bitches give you more than a virus,0,1,1,1,,1,1,1,,1,2,1,,1,2,1,1,1,1,1
106,,19320,"RT @doddynyc: I'm mature enough to eat pussy when it's time too, eating ass is just disrespect.",1,0,1,0,,0,1,0,,1,2,1,,0,2,0,0,0,1,1
107,,17602,RT @SaucyJames: Go dumb bitch do your dumb dance,0,1,2,1,,1,2,1,,1,2,1,,1,2,1,1,1,1,1
108,,8042,As if it WASNT gon get Bacc to me &#128514;&#128557; bitch your outta your fuccing mind,1,1,2,1,,1,2,1,,1,2,1,,1,2,1,1,1,1,1
109,,17622,RT @Seinfeld2000: Uncle leo find iWatch in trash can http://t.co/T7GCSMCYLB,1,1,0,0,,1,0,0,,1,0,0,,1,0,1,0,0,0,0
110,,20220,RT @ochocinco: If your girl didn't camp out overnight to buy you the iPhone 6 your pee pee is trash...,1,1,2,1,,1,2,1,,1,2,1,,1,2,1,1,0,1,1
111,,5384,"@YourDudeFerg I wish you wood, Like a tree in this bitch",1,1,1,1,,1,1,1,,1,2,1,,1,0,1,1,0,1,1
112,,8504,"Bye, Bye Charlie Strong.",1,1,0,0,,1,0,0,,1,1,1,,1,0,0,0,0,0,0
113,,14523,RT @AndreShakti: Just took electric stim to my pussy! Eeek! Back on @KinkLive in 5 mins! http://t.co/41apcwSmQN,1,0,1,0,,1,1,1,,1,0,0,,0,0,0,0,0,1,1
114,,19639,RT @iaintshitbruh: white bitches win again smh &#8220;@trackinBlackKev: i fucking hate you @MichelleDBeadle&#8221;,1,1,2,1,,1,2,1,,1,2,1,,1,2,1,1,1,1,1
115,,18827,RT @__thaRealist: @pskinny31 &#128514;&#128514;&#128514; chill bitch,1,1,1,1,,1,1,1,,1,2,1,,1,2,1,0,0,1,1
116,,5689,@areuseriousrn @harmon_lauren it's okay I'll get bitches on this dick anyway but thanks for the tip,1,1,2,1,,1,2,1,,1,1,1,,1,2,1,1,1,1,1
117,,296,"""@_TommyCollins: @WeAreRichnow @buffalobills yeah Texans are so much better you fucking retard"" I see that you're mad about this.",1,1,2,1,,1,2,1,,1,2,1,,1,2,1,1,1,1,1
118,,4218,"@Midnight_Snacka bitch when r u going to get ur round, I just fucking said this just proving my point",1,1,2,1,,1,2,1,,1,2,1,,1,2,1,0,0,1,1
119,,12960,Look at you lying ass bitches couldn't finish school stripping on ya mind ass bitches,1,1,2,1,,1,2,1,,1,2,1,,1,2,1,1,1,1,1
120,,23661,Yo bitch choosin just let her http://t.co/zg6X4gDyRZ,1,1,1,1,,1,1,1,,1,2,1,,1,2,1,0,1,1,1
121,,22470,This bitch said she'll do something strange for some change,1,1,1,1,,1,1,1,,1,2,1,,1,1,1,0,0,1,1
122,,402,"""@soxdawg: RAWR!! RT @skinrubberboi: ""My"" sexy French scally. I love him! #frenchscally http://t.co/5idQ3R5Akz"" sexy scally woof woof",1,1,0,0,,1,0,0,,1,2,1,,1,0,0,0,0,0,0
123,,2167," You tall tree ass females be 6'0 TALKIN bout "" Catching Feelings "" , bitch you need to catch this touchdown... http://t.co/lMgkDuxzY7",1,1,2,1,,1,2,1,,1,2,1,,1,2,1,1,1,1,1
124,,10318,I be like... bitch please. lol http://t.co/PNVmaacWY0,1,1,1,1,,1,1,1,,1,2,1,,1,2,1,0,0,1,1
125,,1604,&#8220;@Tinypinkisboss: can't stand a playin ass nigga&#9995;&#8221;bitch*,1,1,2,1,,1,2,1,,1,2,1,,1,2,1,1,1,1,1
126,,20602,RT @thecoreyholcomb: You are who you kick it wit y'all. Check yo squad- if busters &amp; blameamotherfucker ass bitches surround U it's twice a&#8230;,0,1,2,1,,1,2,1,,1,2,1,,1,2,1,0,1,1,1
127,,8177,Bbl gonna go sob over gay bird babies.,1,1,0,0,,1,0,0,,1,2,1,,0,0,0,0,1,0,0
128,,428,"""And bitch you must be lost"" &#128514;&#128514;",1,1,1,1,,1,1,1,,1,2,1,,1,2,1,0,0,1,1
129,,3298,@Fulf_ShawnFulf peckerwood,1,1,0,0,,1,1,1,,1,1,1,,1,1,1,1,0,1,1
130,,16185,RT @Jim_McCloskey: Why does Hawkeye have to be in the Avengers? He's such a pussy,1,1,2,1,,1,2,1,,1,2,1,,1,2,1,1,1,1,1
131,,14325,"RT @0hallis0n: ""This is J Cole you fucking queer""",1,1,2,1,,1,2,1,,1,2,1,,1,2,1,1,1,1,1
132,,6229,@gvvenivere learn how to type ya hillbilly,1,1,1,1,,1,2,1,,1,2,1,,1,2,1,1,1,1,1
133,,24702,"maddie, karissa, Ireland, cierra and I have gotten so close I'd kill a bitch for them tbh",1,0,1,0,,1,2,1,,1,1,1,,1,2,1,0,1,1,1
134,,19914,RT @kyanne_smith: @rahshauna. You arent a bitch.,1,1,1,1,,1,1,1,,1,1,1,,1,1,1,0,0,1,0
135,,7362,@thereal_2raw He actually good lol don't hoe him. But I mean that's some road to glory shit &gt;Go to Northern Illinois* *Undefeated &amp; Heisman*,1,1,1,1,,1,1,1,,1,1,1,,1,2,1,0,0,0,0
136,,20116,RT @mikcakers: But then again i aint never worried bout no bitch nor nigga !!,0,0,2,1,,0,2,0,,1,2,1,,0,2,0,1,1,1,1
137,,6054,"@drew4130 @mailgal2000
Y'all hire colored folk? Only work half da day and throw da mail in da sewer if we ain't done",1,1,0,0,,1,0,0,,1,2,1,,1,2,1,1,1,1,1
138,,18780,RT @__DayAnnaa: Bobby bitch bobby bitch &#128293;&#128293;&#128520;,1,1,1,1,,1,2,1,,1,2,1,,1,2,1,0,1,1,0
139,,15743,RT @GreaterThn: When you see bae retweet or mention some hoe http://t.co/864iI0yIoV,1,1,1,1,,1,1,1,,1,1,1,,1,1,1,0,0,1,1
140,,17287,"RT @Pinche_Adina: ""@StayWavyBruh: These hoes getting pregnant just to put some shit like ShaqualidaeMommy, BarackeishaMommy in they IG Bio&#8230;",1,1,2,1,,1,2,1,,1,2,1,,1,2,1,1,1,1,1
141,,2516,"@AntonioFrench The ""You&#8217;re going 2have 2 KILL crackers &amp; their babies&#8221; New Black Panthers #CredibilityShot #FergusonRiot #Justice4MikeBrown",1,1,2,1,,1,2,1,,1,2,1,,1,1,1,1,1,1,1
142,,8863,Damn hoe.. You so ugly even hello kitty said goodbye.,1,1,2,1,,1,2,1,,1,2,1,,1,2,1,1,0,1,1
143,,23125,What's up with all these bitches in bed clothes...? Walking the streets like that shit is cute.,1,1,2,1,,1,2,1,,1,2,1,,1,2,1,0,0,1,1
144,,14207,Plot twist I fucked your bitch,1,1,2,1,,1,2,1,,1,1,1,,1,1,1,0,1,1,1
145,,16655,RT @LoveAmari_x: I would never be with someone that's afraid to tell niggas and bitches we're together. I look like a secret? Fuck outta h&#8230;,0,1,2,1,,1,2,1,,1,2,1,,1,2,1,0,1,1,1
146,,14273,Punch that hoe cause she deserve it.,1,1,2,1,,1,2,1,,1,1,1,,1,2,1,1,1,1,1
147,,23944,You're a bitch &amp; I hate you,1,1,2,1,,1,2,1,,1,2,1,,1,2,1,1,1,1,1
148,,15261,RT @DailyRapFacts: .@YG is the voice behind @DJmustard&#8217;s &#8220;Mustard on the beat hoe,1,1,1,1,,1,1,1,,1,1,1,,1,0,1,0,1,1,0
149,,3782,@Joe_Schmucc Dog Government jobs is the SHIT. I done got my last few off that bitch.,1,1,2,1,,1,2,1,,1,2,1,,1,2,1,0,0,1,0
150,,4875,@SpecialEd24 gotta turn the hoe into housewife,1,1,1,1,,1,2,1,,1,1,1,,1,2,1,1,1,1,1
151,,21151,Shaved pussy ho gets serious anal sex&#160;here! http://t.co/ECvvmwfh88,0,1,2,1,,1,2,1,,1,2,1,,1,2,1,1,1,1,1
152,,15012,"RT @CheefPolo: i hate when bitches be like ""deeper, deeper"" bitch what u thought i had some spare dick in my back pocket i was saving?",1,1,2,1,,1,2,1,,1,2,1,,1,2,1,1,1,1,1
153,,1050,&#128543; &#8220;@DubPeeWorld: So the new wave is bitches wearing mini shovels on their hand&#8221;,1,1,1,1,,1,1,1,,1,2,1,,1,2,1,0,1,1,1
154,,22637,"Those ""tell me about yourself "" lookin ass niggas ... Ima crazy bitch that's all you need to know.",1,1,2,1,,1,2,1,,1,2,1,,1,2,1,1,1,1,1
155,,2002,&#8220;@zooyorkinit: @whattheflocka lol love you ;)&#8221; little bitch,1,1,1,1,,1,1,1,,1,1,1,,1,1,1,0,0,1,1
156,,14732,RT @BiggMoe_: Floyd Mayweather stay with a badd bitch lol,1,1,1,1,,1,2,1,,1,0,0,,1,2,1,0,0,1,0
157,,462,"""He a bitch for hitting that hoe"" &#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;",1,1,1,1,,1,1,1,,1,2,1,,1,2,1,1,1,1,1
158,,24768,niggas &amp; bitches dating ugly niggas &amp; hoes kuz they can trust em then they cheat w/ the elite hoes &amp; niggas ...&#128514;&#128514;&#128514;,1,1,2,1,,1,2,1,,1,2,1,,1,2,1,1,1,1,1
159,,2866,@CayMarieee omg bitch go to sleep it was JUST a coincidence huh ? &#9995;&#128514;,1,1,2,1,,1,2,1,,1,2,1,,1,2,1,0,1,1,1
160,,14169,Photo: Mustard on the beat hoe #wdywt http://t.co/DKYqcnRuNO,1,1,1,1,,1,1,1,,1,1,1,,0,0,0,0,0,1,1
161,,10988,I love fat bitches. That's my fucking problem. @RooDee_Poo,1,0,2,0,,1,2,1,,1,2,1,,1,2,1,0,1,1,1
162,,131,"""@GirlThatsVonte: Yall bitches wit no edges be doing the most talking &#128553;&#128564;&#9995;""&#128514;&#128514;&#128514;",1,1,1,1,,1,1,1,,1,1,1,,1,2,1,1,1,1,1
